,Unnamed: 0,Incident_Num,Incident_Type,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender,date,count,race_weights,pop,weight_count
9868,10351,48013,2,West,DAVID,D3,5141,21053,Black or African American,Male,2019-08-28 21:31:00,1.0,0.07,52.757,0.018954830638588244
9869,10352,48131,2,North,NORA,N3,2782,21085,White,Male,2019-09-01 14:09:00,1.0,0.68,512.499,0.0019512233194601354
9870,10353,48301,2,North,NORA,N3,2447,21085,White,Male,2019-09-01 14:09:00,1.0,0.68,512.499,0.0019512233194601354
9872,10355,48497,2,West,KING,K1,1889,18126,White,Male,2019-09-12 23:23:00,1.0,0.68,512.499,0.0019512233194601354
9873,10356,48496,1,West,KING,K1,2185,18126,White,Male,2019-09-12 23:11:00,1.0,0.68,512.499,0.0019512233194601354
9874,10357,48495,1,West,KING,K1,1550,18126,White,Male,2019-09-12 23:11:00,1.0,0.68,512.499,0.0019512233194601354
9877,10360,49010,1,South,ROBERT,R2,5276,21291,Asian,Male,2019-09-25 17:30:00,1.0,0.151,113.805,0.008786960151135713
9878,10361,49097,1,Southwest,FRANK,F2,5110,4997,Black or African American,Female,2019-09-27 23:09:00,1.0,0.07,52.757,0.018954830638588244
9879,10362,49096,1,Southwest,FRANK,F2,1547,4997,Black or African American,Female,2019-09-27 23:15:00,1.0,0.07,52.757,0.018954830638588244
9880,10363,49618,1,East,CHARLIE,C3,767,21441,White,Male,2019-10-10 12:14:00,1.0,0.68,512.499,0.0019512233194601354
