,Unnamed: 0,Incident_Num,Incident_Type,Precinct,Sector,Beat,Officer_ID,Subject_ID,Subject_Race,Subject_Gender,date,count,race_weights,pop,weight_count
9675,10147,47147,1,South,ROBERT,R2,549,20800,White,Male,2019-08-04 14:50:00,1.0,0.68,512.499,0.0019512233194601354
9676,10148,45834,2,East,GEORGE,G3,2323,20425,Black or African American,Male,2019-06-26 16:36:00,1.0,0.07,52.757,0.018954830638588244
9678,10151,46446,2,West,MARY,M3,1740,1156,White,Male,2019-07-15 19:17:00,1.0,0.68,512.499,0.0019512233194601354
9679,10152,46449,2,600 SENECA ST,WILLIAM,M,2159,1156,White,Male,2019-07-15 19:17:00,1.0,0.68,512.499,0.0019512233194601354
9680,10153,46448,1,West,MARY,M3,2191,1156,White,Male,2019-07-15 19:28:00,1.0,0.68,512.499,0.0019512233194601354
9681,10154,47074,2,West,MARY,M3,2159,20777,White,Male,2019-08-02 01:18:00,1.0,0.68,512.499,0.0019512233194601354
9682,10155,46564,1,South,ROBERT,R2,1235,20171,Black or African American,Male,2019-07-19 00:50:00,1.0,0.07,52.757,0.018954830638588244
9683,10156,46876,1,West,DAVID,D1,1604,2775,White,Female,2019-07-29 00:40:00,1.0,0.68,512.499,0.0019512233194601354
9684,10157,46932,1,West,QUEEN,Q1,5064,20737,White,Male,2019-07-30 21:39:00,1.0,0.68,512.499,0.0019512233194601354
9685,10158,47009,1,West,MARY,M3,4764,18392,White,Male,2019-07-31 12:59:00,1.0,0.68,512.499,0.0019512233194601354
9686,10159,47010,1,West,MARY,M3,2230,18392,White,Male,2019-07-31 12:59:00,1.0,0.68,512.499,0.0019512233194601354
9687,10160,47141,1,East,EDWARD,E2,2192,15964,White,Male,2019-08-04 11:39:00,1.0,0.68,512.499,0.0019512233194601354
9688,10161,47142,1,East,EDWARD,E2,2296,15964,White,Male,2019-08-04 11:48:00,1.0,0.68,512.499,0.0019512233194601354
9689,10162,47150,1,East,EDWARD,E2,5111,15964,White,Male,2019-08-04 11:40:00,1.0,0.68,512.499,0.0019512233194601354
9690,10163,47640,1,Southwest,FRANK,F2,4773,20948,White,Male,2019-08-09 20:30:00,1.0,0.68,512.499,0.0019512233194601354
9691,10164,47792,1,Southwest,WILLIAM,W3,868,12625,Black or African American,Male,2019-08-21 16:30:00,1.0,0.07,52.757,0.018954830638588244
9692,10165,47793,1,Southwest,WILLIAM,W3,1229,12625,Black or African American,Male,2019-08-21 16:30:00,1.0,0.07,52.757,0.018954830638588244
9693,10166,47416,1,North,JOHN,J1,1551,20869,White,Male,2019-08-11 18:17:00,1.0,0.68,512.499,0.0019512233194601354
9698,10171,47797,1,North,JOHN,J3,1616,20793,White,Male,2019-08-21 18:51:00,1.0,0.68,512.499,0.0019512233194601354
9699,10172,47798,1,North,JOHN,J3,1611,20793,White,Male,2019-08-18 18:52:00,1.0,0.68,512.499,0.0019512233194601354
9700,10173,47848,1,North,UNION,U2,1047,8818,White,Male,2019-08-23 13:10:00,1.0,0.68,512.499,0.0019512233194601354
9701,10174,47921,1,East,CHARLIE,C2,407,21025,Hispanic or Latino,Female,2019-08-26 10:07:00,1.0,0.066,49.743,0.020103331121966907
9702,10175,47968,1,East,CHARLIE,C1,939,21046,White,Female,2019-08-27 11:21:00,1.0,0.68,512.499,0.0019512233194601354
9703,10176,47985,1,East,CHARLIE,C1,2427,21046,White,Female,2019-08-27 11:21:00,1.0,0.68,512.499,0.0019512233194601354
9704,10177,47849,1,North,NORA,N3,701,17939,White,Female,2019-08-23 17:00:00,1.0,0.68,512.499,0.0019512233194601354
9705,10178,47850,1,North,NORA,N3,1588,17939,White,Female,2019-08-23 17:00:00,1.0,0.68,512.499,0.0019512233194601354
9708,10181,47146,1,East,CHARLIE,C3,1581,8466,Black or African American,Male,2019-08-04 15:15:00,1.0,0.07,52.757,0.018954830638588244
9709,10182,47149,1,East,CHARLIE,C3,2171,8466,Black or African American,Male,2019-08-04 15:30:00,1.0,0.07,52.757,0.018954830638588244
9710,10183,47134,1,West,QUEEN,Q3,4999,20796,Black or African American,Male,2019-08-04 01:50:00,1.0,0.07,52.757,0.018954830638588244
9711,10185,47041,1,West,KING,K2,4760,10955,Black or African American,Male,2019-08-01 03:50:00,1.0,0.07,52.757,0.018954830638588244
9712,10187,44927,2,East,EDWARD,E2,1884,20222,American Indian/Alaska Native,Female,2019-05-31 23:15:00,1.0,0.006,4.522,0.22114108801415303
9713,10188,47560,1,East,GEORGE,G1,2427,20222,American Indian/Alaska Native,Female,2019-06-01 12:17:00,1.0,0.006,4.522,0.22114108801415303
9714,10189,44926,2,East,EDWARD,E2,4870,20222,American Indian/Alaska Native,Female,2019-05-31 23:14:00,1.0,0.006,4.522,0.22114108801415303
9715,10190,47419,1,South,ROBERT,R3,5238,20870,Black or African American,Male,2019-08-11 01:51:00,1.0,0.07,52.757,0.018954830638588244
9716,10191,47304,1,North,BOY,B2,827,19505,White,Male,2019-03-18 01:22:00,1.0,0.68,512.499,0.0019512233194601354
